title,vertices,edges,faces,eps,points,segments,cells,feps
279_ku_Crab_(shaped).fold,1412,3125,1714,0.00000747940857249,3102,6303,3202,0.00000011686575850
300_imai_Japanese_Spiny_Lobster_v2.cp,4485,9865,5381,0.16025641025620274,3119,7237,4119,0.00500801282050629
